work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,80000,EUR,85847.0,ES,100.0,ES,L
2023,MI,CT,ML Engineer,30000,USD,30000.0,US,100.0,US,S
2023,MI,CT,ML Engineer,25500,USD,25500.0,US,100.0,US,S
2023,SE,FT,Data Scientist,175000,USD,175000.0,CA,100.0,CA,M
2023,SE,FT,Data Scientist,120000,USD,120000.0,CA,100.0,CA,M
2023,SE,FT,Applied Scientist,222200,USD,222200.0,US,0.0,US,L
2023,SE,FT,Applied Scientist,136000,USD,136000.0,US,0.0,US,L
2023,SE,FT,Data Scientist,219000,USD,219000.0,CA,0.0,CA,M
2023,SE,FT,Data Scientist,141000,USD,141000.0,CA,0.0,CA,M
2023,SE,FT,Data Scientist,147100,USD,147100.0,US,0.0,US,M
2023,SE,FT,Data Scientist,90700,USD,90700.0,US,0.0,US,M
2023,SE,FT,Data Analyst,130000,USD,130000.0,US,100.0,US,M
2023,SE,FT,Data Analyst,100000,USD,100000.0,US,100.0,US,M
2023,EN,FT,Applied Scientist,213660,USD,213660.0,US,0.0,US,L
2023,EN,FT,Applied Scientist,130760,USD,130760.0,US,0.0,US,L
2023,SE,FT,Data Modeler,147100,USD,147100.0,US,0.0,US,M
2023,SE,FT,Data Modeler,90700,USD,90700.0,US,0.0,US,M
2023,SE,FT,Data Scientist,170000,USD,170000.0,US,0.0,US,M
2023,SE,FT,Data Scientist,150000,USD,150000.0,US,0.0,US,M
2023,MI,FT,Data Analyst,150000,USD,150000.0,US,100.0,US,M
2023,MI,FT,Data Analyst,110000,USD,110000.0,US,100.0,US,M
2023,SE,FT,Research Engineer,275000,USD,275000.0,DE,0.0,DE,M
2023,SE,FT,Research Engineer,174000,USD,174000.0,DE,0.0,DE,M
2023,SE,FT,Analytics Engineer,230000,USD,230000.0,GB,100.0,GB,M
2023,SE,FT,Analytics Engineer,143200,USD,143200.0,GB,100.0,GB,M
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000.0,US,0.0,US,M
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400.0,US,0.0,US,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000.0,US,0.0,US,M
2023,SE,FT,Machine Learning Engineer,130000,USD,130000.0,US,0.0,US,M
2023,SE,FT,Data Strategist,90000,USD,90000.0,CA,0.0,CA,M
2023,SE,FT,Data Strategist,72000,USD,72000.0,CA,0.0,CA,M
2023,SE,FT,Data Engineer,253200,USD,253200.0,US,0.0,US,M
2023,SE,FT,Data Engineer,90700,USD,90700.0,US,0.0,US,M
2023,SE,FT,Computer Vision Engineer,342810,USD,342810.0,US,0.0,US,M
2023,SE,FT,Computer Vision Engineer,184590,USD,184590.0,US,0.0,US,M
2023,MI,FT,Data Engineer,162500,USD,162500.0,US,0.0,US,M
2023,MI,FT,Data Engineer,130000,USD,130000.0,US,0.0,US,M
2023,MI,FT,Data Analyst,105380,USD,105380.0,US,0.0,US,M
2023,MI,FT,Data Analyst,64500,USD,64500.0,US,0.0,US,M
2023,EN,FT,Data Quality Analyst,100000,USD,100000.0,NG,100.0,NG,L
2023,EN,FT,Compliance Data Analyst,30000,USD,30000.0,NG,100.0,NG,L
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984.0,IN,50.0,IN,L
2023,EN,FT,Applied Scientist,204620,USD,204620.0,US,0.0,US,L
2023,EN,FT,Applied Scientist,110680,USD,110680.0,US,0.0,US,L
2023,SE,FT,Data Engineer,270703,USD,270703.0,US,0.0,US,M
2023,SE,FT,Data Engineer,221484,USD,221484.0,US,0.0,US,M
2023,SE,FT,Data Scientist,212750,USD,212750.0,US,100.0,US,M
2023,SE,FT,Data Scientist,185000,USD,185000.0,US,100.0,US,M
